6150221_00	28.4812090038	-16.3365839155	663.5702596605	21 2  2014	 0 5  56.00     	
6150221_00	28.4812089948	-16.3365839222	663.5662995297	21 2  2014	 0 5  56.20     	
6150221_00	28.4812089943	-16.3365839307	663.5583548248	21 2  2014	 0 5  56.40     	
6150221_00	28.4812090057	-16.3365839273	663.5634191185	21 2  2014	 0 5  56.60     	
6150221_00	28.4812090001	-16.3365839222	663.5634550676	21 2  2014	 0 5  56.80     	
6150221_00	28.4812089870	-16.3365839231	663.5597876133	21 2  2014	 0 5  57.00     	
6150221_00	28.4812089844	-16.3365839253	663.5667161644	21 2  2014	 0 5  57.20     	
6150221_00	28.4812089872	-16.3365839209	663.5562663488	21 2  2014	 0 5  57.40     	
6150221_00	28.4812089882	-16.3365839182	663.5645106416	21 2  2014	 0 5  57.60     	
6150221_00	28.4812089939	-16.3365839292	663.5589541644	21 2  2014	 0 5  57.80     	
6150221_00	28.4812089961	-16.3365839138	663.5636693193	21 2  2014	 0 5  58.00     	
6150221_00	28.4812089959	-16.3365839243	663.5630194396	21 2  2014	 0 5  58.20     	
6150221_00	28.4812089936	-16.3365839358	663.5601146435	21 2  2014	 0 5  58.40     	
6150221_00	28.4812090020	-16.3365839243	663.5636589183	21 2  2014	 0 5  58.60     	
6150221_00	28.4812090047	-16.3365839173	663.5658759149	21 2  2014	 0 5  58.80     	
6150221_00	28.4812089990	-16.3365839189	663.5638928879	21 2  2014	 0 5  59.00     	
6150221_00	28.4812089909	-16.3365839304	663.5644063288	21 2  2014	 0 5  59.20     	
6150221_00	28.4812090015	-16.3365839382	663.5627675243	21 2  2014	 0 5  59.40     	
